# Rodrigues et al. UHE neutrino flux from all AGN classes, source
# Enu [GeV], Enu^2*phi_nue [GeV cm^{-2} s^{-1} sr^{-1}], Enu^2*phi_numu, Enu^2*phi_nutau, Enu^2*phi_nuebar, Enu^2*phi_numubar, Enu^2*phi_nutaubar
3.09319642e+05 1.86430916e-10 1.78609603e-10 1.66087740e-10 1.40313775e-10 1.61983540e-10 1.48655745e-10
3.32452672e+05 1.94499586e-10 1.86140816e-10 1.73105192e-10 1.46655564e-10 1.69036895e-10 1.55144662e-10
3.57315748e+05 2.02917886e-10 1.93989915e-10 1.80419467e-10 1.53284940e-10 1.76397995e-10 1.61917444e-10
3.84038254e+05 2.10372023e-10 2.00805290e-10 1.86780361e-10 1.59214025e-10 1.82929062e-10 1.67929769e-10
4.12759251e+05 2.17004008e-10 2.06736295e-10 1.92325804e-10 1.64545500e-10 1.88751848e-10 1.73293180e-10
4.43628200e+05 2.23846572e-10 2.12843653e-10 1.98037054e-10 1.70056583e-10 1.94760675e-10 1.78828590e-10
4.76805739e+05 2.30906445e-10 2.19132646e-10 2.03919104e-10 1.75753360e-10 2.00961513e-10 1.84541541e-10
5.12464521e+05 2.36852633e-10 2.24383134e-10 2.08833420e-10 1.80648911e-10 2.06248525e-10 1.89415192e-10
5.50790109e+05 2.41899739e-10 2.28796954e-10 2.12967959e-10 1.84898080e-10 2.10799056e-10 1.93612381e-10
5.91981946e+05 2.47055531e-10 2.33298493e-10 2.17185239e-10 1.89248133e-10 2.15450597e-10 1.97903187e-10
6.36254389e+05 2.52322374e-10 2.37889512e-10 2.21486938e-10 1.93701487e-10 2.20205405e-10 2.02289713e-10
6.83837828e+05 2.56755220e-10 2.41815727e-10 2.25160838e-10 1.97467549e-10 2.24203609e-10 2.05979701e-10
7.34979879e+05 2.60552397e-10 2.45237639e-10 2.28358299e-10 2.00709002e-10 2.27624897e-10 2.09138535e-10
